"gm-target href","gm-text","gm-target href 2","gm-text 2","gm-target href 3","gm-text 3","gm-target href 4","gm-text 4","gm-target href 5","gm-text 5","gm-target href 6","gm-text 6","gm-target href 7","gm-text 7"
"https://yameshop.com/collections/non","NÓN","https://yame.vn/collections/non-dad-hat","Nón Dad Hat","https://yame.vn/collections/non-baseball-cap","Nón Baseball Cap","https://yame.vn/collections/non-trucker-cap","Nón Trucker Cap","https://yame.vn/collections/non-snap-back","Nón Snapback","https://yame.vn/collections/non-bucket","Nón Bucket","https://yame.vn/collections/non-fitted-cap","Nón Fitted Cap"
"https://yameshop.com/collections/tui-deo","TÚI ĐEO CHÉO VÀ TÚI XÁCH","https://yame.vn/collections/tui-deo-cheo","Túi Đeo Chéo (Cross Bag)","https://yame.vn/collections/tui-bao-tu","Túi Bao Tử (Hip Sack)","https://yame.vn/collections/tui-deo-nguc","Túi Đeo Ngực (Sling Bag)","https://yame.vn/collections/tui-messenger","Túi Messenger","https://yame.vn/collections/tui-tote","Túi Tote","https://yame.vn/collections/tui-trong-du-lich","Túi Trống Du Lịch (Travel Bag)"
"https://yameshop.com/collections/balo","BALO","https://yame.vn/collections/balo-essential","Balo Essential","https://yame.vn/collections/balo-smart","Balo Smart","https://yame.vn/collections/balo-campus","Balo Campus","https://yame.vn/collections/balo-camping","Balo Camping","","","",""
"https://yameshop.com/collections/vi","VÍ","https://yame.vn/collections/vi-ngang","Ví Ngang Công Sở","https://yame.vn/collections/vi-dung","Ví Đứng Công Sở","https://yame.vn/collections/vi-canvas","Ví Canvas","https://yame.vn/collections/vi-cam-tay","Ví Cầm Tay","","","",""
"https://yameshop.com/collections/day-nit","DÂY NỊT","https://yame.vn/collections/day-nit-da-bo","Dây Nịt Da Bò","https://yame.vn/collections/day-nit-da-bo-y","Dây Nịt Da Bò Ý","https://yame.vn/collections/day-nit-da-trau","Dây Nịt Da Trâu","","","","","",""
"https://yame.vn/collections/giay","GIÀY","https://yame.vn/collections/giay-oxford","Giày Oxford","https://yame.vn/collections/giay-loafer","Giày Loafer","https://yame.vn/collections/giay-boots","Giày Boots","","","","","",""
"https://yame.vn/collections/dep","DÉP","https://yame.vn/collections/dep-de-trau","Dép Đế Trấu","https://yame.vn/collections/dep-de-thap","Dép Đế Thấp","https://yame.vn/collections/dep-de-cao","Dép Đế Cao","https://yame.vn/collections/dep-sieu-nhe","Dép Siêu Nhẹ","","","",""
"https://yame.vn/collections/phu-kien-the-thao","PHỤ KIỆN THỂ THAO","https://yame.vn/collections/bang-tran","Băng Trán","https://yame.vn/collections/bang-deo-co-tay","Băng Đeo Cổ Tay","https://yame.vn/collections/bang-bao-ve-co-chan","Băng Bảo Vệ Cổ Chân","https://yame.vn/collections/bo-goi","Bó Gối","https://yame.vn/collections/khan-the-thao","Khăn Thể Thao","",""
"https://yameshop.com/collections/vo","VỚ","https://yame.vn/collections/vo-basic","Vớ Basic","https://yame.vn/collections/vo-cong-thai-hoc","Vớ Công Thái Học","https://yameshop.com/collections/vo-the-thao","Vớ Thể Thao","","","","","",""
"https://yame.vn/collections/phu-kien-ca-nhan","PHỤ KIỆN CÁ NHÂN","https://yame.vn/collections/gang-tay","Găng Tay","https://yame.vn/collections/lot-giay","Lót Giày","","","","","","","",""
