name,slug,brand,category,short_description,long_description,statusName,image_url,product_url,sku,price_sale,price_original,color,size,stock_quantity
Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Xanh Dương Đậm,quan-short-5-inch-du-mong-nhe-non-branded-006-xanh-duong-am,Non Branded,Quần short,Quần Short 5 Inch Dù Mỏng Nhẹ Non Branded 006 Xanh Dương Đậm,,New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-06-xanh-bich-1174878726.jpg?v=1760785240&width=533,https://yame.vn/products/quan-short-5-inch-du-mong-nhe-non-branded-06-xanh-bich-0023737,quan-short-5-inch-du-mong-nhe-non-branded-06-xanh-bich-0023737,158650.0,167000.0,Xanh Dương Đậm,,0
Áo Thun 3 Lỗ Waffle Non Branded 002 Xám Đậm,ao-thun-3-lo-waffle-non-branded-002-xam-am,Non Branded,Áo thun 3 lỗ,Áo Thun 3 Lỗ Waffle Non Branded 002 Xám Đậm,,New,https://yame.vn/cdn/shop/files/23716_thumb_1.jpg?v=1760776031&width=533,https://yame.vn/products/ao-thun-3-lo-waffle-non-branded-02-xam-0023716,ao-thun-3-lo-waffle-non-branded-02-xam-0023716,111150.0,117000.0,Xám Đậm,,0
Áo Khoác Gió Trượt Nước Mỏng Nhẹ Nhiều Màu Non Branded 004 Trắng,ao-khoac-gio-truot-nuoc-mong-nhe-nhieu-mau-non-branded-004-trang,Non Branded,Áo khoác,Áo Khoác Gió Trượt Nước Mỏng Nhẹ Nhiều Màu Non Branded 004 Trắng,,New,https://yame.vn/cdn/shop/files/ao-khoac-gio-dang-v-a-non-branded-04-tr-ng-1194490216.jpg?v=1760780131&width=533,https://yame.vn/products/ao-khoac-gio-truot-nuoc-mong-nhe-nhieu-mau-non-branded-04-trang-0024033,ao-khoac-gio-truot-nuoc-mong-nhe-nhieu-mau-non-branded-04-trang-0024033,310650.0,327000.0,Trắng,,0
Áo Thun Tay Ngắn Pique Ít Nhăn Dáng Vừa Non Branded 008 Đen,ao-thun-tay-ngan-pique-it-nhan-dang-vua-non-branded-008-en,Non Branded,Áo thun,Áo Thun Tay Ngắn Pique Ít Nhăn Dáng Vừa Non Branded 008 Đen,,New,https://yame.vn/cdn/shop/files/ao-thun-no-style-02-den-1174878775.jpg?v=1760790228&width=533,https://yame.vn/products/ao-thun-co-tron-tay-ngan-pique-it-nhan-dang-vua-non-branded-den-0021929,ao-thun-co-tron-tay-ngan-pique-it-nhan-dang-vua-non-branded-den-0021929,82650.0,87000.0,Đen,,0
Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Dương,quan-short-thun-9-inch-thoang-mat-non-branded-005-xanh-duong,Non Branded,Quần short,Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Dương,,New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-05-xanh-d-ng-1174882141.jpg?v=1760784460&width=533,https://yame.vn/products/quan-short-thun-9-inch-thoang-mat-non-branded-05-xanh-duong-0023727,quan-short-thun-9-inch-thoang-mat-non-branded-05-xanh-duong-0023727,158650.0,167000.0,Xanh Dương,,0
Áo Polo Pique Thoáng Mát Non Branded 003 Hồng,ao-polo-pique-thoang-mat-non-branded-003-hong,Non Branded,Áo polo,Áo Polo Pique Thoáng Mát Non Branded 003 Hồng,,New,https://yame.vn/cdn/shop/files/ao-polo-non-branded-03-h-ng-1174885368.jpg?v=1760774459&width=533,https://yame.vn/products/ao-polo-pique-thoang-mat-non-branded-03-hong-0023746,ao-polo-pique-thoang-mat-non-branded-03-hong-0023746,168150.0,177000.0,Hồng,,0
Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Đen,ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-039-en,Seventy Seven,Áo khoác,Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Đen,,New,https://yame.vn/cdn/shop/files/ao-khoac-seventy-seven-39-den-1174884560.jpg?v=1760780440&width=533,https://yame.vn/products/ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-39-den-0023190,ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-39-den-0023190,272650.0,287000.0,Đen,,0
Quần Short Nam Thun Waffle 7 Inch Thoáng Khí Seventy Seven 030 Nâu,quan-short-nam-thun-waffle-7-inch-thoang-khi-seventy-seven-030-nau,Seventy Seven,Quần short,Quần Short Nam Thun Waffle 7 Inch Thoáng Khí Seventy Seven 030 Nâu,,New,https://yame.vn/cdn/shop/files/0023284_thumb_1.jpg?v=1760796857&width=533,https://yame.vn/products/quan-short-nam-thun-waffle-7-inch-thoang-khi-seventy-seven-30-nau-0023284,quan-short-nam-thun-waffle-7-inch-thoang-khi-seventy-seven-30-nau-0023284,192950.0,227000.0,Nâu,,0
Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Xanh Dương Đậm,ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-039-xanh-duong-am,Seventy Seven,Áo khoác,Áo Khoác Hoodie Waffle Thoáng Khí Seventy Seven 039 Xanh Dương Đậm,,New,https://yame.vn/cdn/shop/files/ao-khoac-seventy-seven-39-xanh-den-1174884581.jpg?v=1760780379&width=533,https://yame.vn/products/ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-39-xanh-den-0023188,ao-khoac-hoodie-waffle-thoang-khi-seventy-seven-39-xanh-den-0023188,272650.0,287000.0,Xanh Dương Đậm,,0
Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Lá Đậm,quan-short-thun-9-inch-thoang-mat-non-branded-005-xanh-la-am,Non Branded,Quần short,Quần Short Thun 9 Inch Thoáng Mát Non Branded 005 Xanh Lá Đậm,,New,https://yame.vn/cdn/shop/files/qu-n-short-non-branded-05-xanh-reu-1174882127.jpg?v=1760784387&width=533,https://yame.vn/products/quan-short-thun-9-inch-thoang-mat-non-branded-05-xanh-reu-0023725,quan-short-thun-9-inch-thoang-mat-non-branded-05-xanh-reu-0023725,158650.0,167000.0,Xanh Lá Đậm,,0
